wartosc,ryzyko,objetosc,result
90,very,0,true
90,somewhat,0,false
85,none,0,false
65,very,1,true
30,very,1,true
55,somewhat,1,true
80,very,0,true
90,somewhat,0,false
25,none,0,false
15,very,1,true
40,very,1,true
35,somewhat,1,true
20,very,0,true
40,somewhat,0,false
55,none,0,false
75,very,1,true
80,very,1,true
95,somewhat,1,true
10,very,0,true
20,somewhat,0,false
35,none,0,false
35,very,1,true
20,very,1,true
45,somewhat,1,true
40,very,0,true
50,somewhat,0,false
65,none,0,false
21,very,1,true
13,very,1,true
14,somewhat,1,true
90,very,0,true
15,somewhat,0,false
66,none,0,false
77,very,1,true
33,very,1,true
88,somewhat,1,true
9,very,0,true
9,somewhat,0,false
5,none,0,false
15,very,1,true
91,very,0,true
91,somewhat,0,false
82,none,0,false
63,very,1,true
34,very,1,true
53,somewhat,1,true
86,very,0,true
92,somewhat,0,false
18,none,0,false
99,very,1,true
35,very,1,true
55,somewhat,1,true
35,very,0,true
64,somewhat,0,false
46,none,0,false
74,very,1,true
57,very,1,true
97,somewhat,1,true
18,very,0,true
28,somewhat,0,false
39,none,0,false
39,very,1,true
26,very,1,true
42,somewhat,1,true
4,very,0,true
20,somewhat,0,false
65,none,0,false
22,very,1,true
15,very,1,true
12,somewhat,1,true
97,very,0,true
13,somewhat,0,false
61,none,0,false
72,very,1,true
36,very,1,true
82,somewhat,1,true
6,very,0,true
2,somewhat,0,false
12,none,0,false
5,very,1,true
34,none,0,false
55,very,1,true
68,very,1,true
40,somewhat,1,true
44,very,0,true
23,somewhat,0,false
12,none,0,false
53,very,1,true
32,very,1,true
45,somewhat,1,true
90,very,0,true
44,somewhat,0,false
62,none,0,false
66,very,1,true
14,very,1,true
88,somewhat,1,true
61,very,0,true
22,somewhat,0,false
19,none,0,false
57,very,1,true
