wartosc,wielkosc,ksztalt,result
90,maly,ostry,true
90,sredni,ostry,false
85,duzy,ostry,false
65,maly,nieostry,true
30,maly,nieostry,true
55,sredni,nieostry,true
80,maly,ostry,true
90,sredni,ostry,false
25,duzy,ostry,false
15,maly,nieostry,true
40,maly,nieostry,true
35,sredni,nieostry,true
20,maly,ostry,true
40,sredni,ostry,false
55,duzy,ostry,false
75,maly,nieostry,true
80,maly,nieostry,true
95,sredni,nieostry,true
10,maly,ostry,true
20,sredni,ostry,false
35,duzy,ostry,false
35,maly,nieostry,true
20,maly,nieostry,true
45,sredni,nieostry,true
40,maly,ostry,true
50,sredni,ostry,false
65,duzy,ostry,false
21,maly,nieostry,true
13,maly,nieostry,true
14,sredni,nieostry,true
90,maly,ostry,true
15,sredni,ostry,false
66,duzy,ostry,false
77,maly,nieostry,true
33,maly,nieostry,true
88,sredni,nieostry,true
9,maly,ostry,true
9,sredni,ostry,false
5,duzy,ostry,false
15,maly,nieostry,true
91,maly,ostry,true
91,sredni,ostry,false
82,duzy,ostry,false
63,maly,nieostry,true
34,maly,nieostry,true
53,sredni,nieostry,true
86,maly,ostry,true
92,sredni,ostry,false
18,duzy,ostry,false
99,maly,nieostry,true
35,maly,nieostry,true
55,sredni,nieostry,true
35,maly,ostry,true
64,sredni,ostry,false
46,duzy,ostry,false
74,maly,nieostry,true
57,maly,nieostry,true
97,sredni,nieostry,true
18,maly,ostry,true
28,sredni,ostry,false
39,duzy,ostry,false
39,maly,nieostry,true
26,maly,nieostry,true
42,sredni,nieostry,true
4,maly,ostry,true
20,sredni,ostry,false
65,duzy,ostry,false
22,maly,nieostry,true
15,maly,nieostry,true
12,sredni,nieostry,true
97,maly,ostry,true
13,sredni,ostry,false
61,duzy,ostry,false
72,maly,nieostry,true
36,maly,nieostry,true
82,sredni,nieostry,true
6,maly,ostry,true
2,sredni,ostry,false
12,duzy,ostry,false
5,maly,nieostry,true
34,duzy,ostry,false
55,maly,nieostry,true
68,maly,nieostry,true
40,sredni,nieostry,true
44,maly,ostry,true
23,sredni,ostry,false
12,duzy,ostry,false
53,maly,nieostry,true
32,maly,nieostry,true
45,sredni,nieostry,true
90,maly,ostry,true
44,sredni,ostry,false
62,duzy,ostry,false
66,maly,nieostry,true
14,maly,nieostry,true
88,sredni,nieostry,true
61,maly,ostry,true
22,sredni,ostry,false
19,duzy,ostry,false
57,maly,nieostry,true
